,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
277,Klaksvík,FO,1589251655,62.23,-6.59,33.8,86,100,17.22
278,Eureka,US,1589251464,40.8,-124.16,64.0,57,75,7.0
279,Honiara,SB,1589251655,-9.43,159.95,89.6,66,40,14.99
280,Tutóia,BR,1589251655,-2.76,-42.27,77.36,88,21,5.93
281,Cleburne,US,1589251438,32.35,-97.39,71.6,53,1,9.17
282,Lüderitz,NA,1589251656,-26.65,15.16,60.8,77,9,3.36
283,La Seyne-sur-Mer,FR,1589251656,43.1,5.88,59.0,92,76,3.0
284,Berkåk,NO,1589251656,62.83,10.01,32.0,91,100,3.04
285,Bethel,US,1589251626,41.37,-73.41,48.2,66,90,6.93
286,Chimoré,BO,1589251429,-16.98,-65.13,73.58,86,100,2.62
287,Saskylakh,RU,1589251657,71.92,114.08,24.67,96,100,16.67
288,Vangaindrano,MG,1589251658,-23.35,47.6,65.82,91,18,5.21
289,Candelaria,PH,1589251658,13.93,121.42,87.01,73,25,5.01
290,Camocim,BR,1589251658,-2.9,-40.84,76.91,89,39,7.63
291,Tual,ID,1589251658,-5.67,132.75,82.98,81,27,19.82
292,Esperance,AU,1589251658,-33.87,121.9,60.8,72,90,3.36
293,Waipawa,NZ,1589251652,-41.41,175.52,64.4,59,98,9.17
294,Dolores,AR,1589251659,-36.31,-57.68,47.88,76,64,2.91
295,San Angelo,US,1589251635,31.46,-100.44,75.99,58,100,1.99
296,Broken Hill,AU,1589251644,-31.95,141.43,62.6,33,43,12.75
297,Gashua,NG,1589251659,12.87,11.05,83.77,13,96,7.78
298,Havelock,US,1589251659,34.88,-76.9,59.0,47,0,9.13
299,Inhambane,MZ,1589251659,-23.86,35.38,65.12,78,0,3.18
300,Mitsamiouli,KM,1589251660,-11.38,43.28,80.37,75,67,4.38
301,Kenai,US,1589251660,60.55,-151.26,48.2,70,20,14.99
302,Mawlaik,MM,1589251661,23.63,94.42,93.38,39,100,2.68
303,Hasaki,JP,1589251613,35.73,140.83,75.0,78,75,12.75
304,Bandarbeyla,SO,1589251642,9.49,50.81,81.86,76,77,11.03
305,Cairns,AU,1589251661,-16.92,145.77,82.4,61,45,17.22
306,Mangai,CD,1589251661,-4.05,19.53,71.49,95,100,0.43
307,Nemuro,JP,1589251662,43.32,145.57,66.2,55,75,6.93
308,Strezhevoy,RU,1589251662,60.73,77.59,64.4,59,100,4.47
309,Ancud,CL,1589251611,-41.87,-73.82,48.0,100,20,3.36
310,Post Falls,US,1589251662,47.72,-116.95,62.6,33,20,10.29
311,Atocha,BO,1589251662,-20.93,-66.23,41.86,54,0,12.24
312,Bitung,ID,1589251663,1.45,125.18,91.4,52,20,5.82
313,Sangar,RU,1589251663,63.92,127.47,37.4,79,90,8.61
314,Zhigansk,RU,1589251663,66.77,123.37,29.62,96,100,15.12
315,Hobyo,SO,1589251664,5.35,48.53,83.17,79,72,15.39
316,Madison,US,1589251419,34.73,-86.57,54.0,66,1,3.36
317,Muros,ES,1589251664,42.78,-9.06,57.99,84,72,1.01
318,Miraflores,MX,1589251664,19.22,-98.81,64.4,63,75,5.82
319,Kutum,SD,1589251664,14.2,24.67,64.76,25,4,2.68
320,Olafsvik,IS,1589251665,64.89,-23.71,39.07,80,66,10.94
321,Mexico,PH,1589251665,15.06,120.72,89.6,62,40,4.7
322,Port Augusta,AU,1589251611,-32.5,137.77,66.2,29,79,19.46
323,Pringsewu,ID,1589251666,-5.36,104.97,88.09,65,11,2.68
324,Cabo San Lucas,MX,1589251473,22.89,-109.91,75.2,44,5,9.17
325,La Rioja,ES,1589251666,42.25,-2.5,51.8,87,3,2.24
326,Nelson Bay,AU,1589251666,-32.72,152.15,68.0,52,27,4.7
327,Avera,US,1589251666,33.19,-82.53,57.2,47,1,3.36
328,Kenora,CA,1589251667,49.82,-94.43,39.2,29,20,6.93
329,Asău,RO,1589251667,46.43,26.4,54.0,78,31,7.49
330,Lębork,PL,1589251667,54.54,17.75,37.99,86,51,6.93
331,La Libertad,EC,1589251667,-2.23,-80.9,74.5,86,25,12.01
332,Kudeyevskiy,RU,1589251668,54.88,56.76,53.6,93,90,8.95
333,Tamiahua,MX,1589251668,21.27,-97.45,76.87,82,3,9.01
334,Narsaq,GL,1589251622,60.92,-46.05,51.8,29,100,31.09
335,Sorong,ID,1589251668,-0.88,131.25,85.62,70,0,4.27
336,Scottsbluff,US,1589251528,41.87,-103.67,37.4,93,90,16.11
337,Caravelas,BR,1589251669,-17.71,-39.25,71.42,75,0,3.89
338,Severo-Kuril'sk,RU,1589251653,50.68,156.12,37.04,81,49,13.85
339,Sa Kaeo,TH,1589251670,13.81,102.07,89.67,56,67,3.38
340,Adeje,ES,1589251670,28.12,-16.73,68.0,68,75,8.05
341,Wau,SS,1589251670,7.7,28.0,74.19,87,100,6.64
342,Jacareacanga,BR,1589251670,-6.22,-57.75,73.83,95,93,1.23
343,George Town,MY,1589251514,5.41,100.34,86.0,83,20,4.7
344,Komatipoort,ZA,1589251671,-25.43,31.95,55.99,88,0,1.95
345,Charters Towers,AU,1589251671,-20.1,146.27,78.46,41,0,13.85
346,Rawson,AR,1589251671,-43.3,-65.1,52.47,46,0,14.38
347,Dwārka,IN,1589251672,22.24,68.97,83.07,79,25,11.83
348,Normandin,CA,1589251382,48.83,-72.53,26.6,49,20,4.7
349,Constantine,DZ,1589251671,36.37,6.61,50.0,81,8,2.24
350,Channel-Port aux Basques,CA,1589251672,47.57,-59.14,34.7,87,0,4.7
351,Taucha,DE,1589251673,51.38,12.48,34.0,86,0,6.93
352,Pomoriany,UA,1589251673,49.64,24.93,55.99,52,53,13.85
353,Atar,MR,1589251457,20.52,-13.05,79.92,18,0,10.71
354,Ugoofaaru,MV,1589251674,5.67,73.0,84.33,68,97,3.42
355,Saint-Philippe,RE,1589251632,-21.36,55.77,71.6,60,90,4.7
356,Coahuayana Viejo,MX,1589251674,18.73,-103.68,72.86,77,0,1.14
357,Huarmey,PE,1589251674,-10.07,-78.15,67.84,85,53,10.29
358,Areosa,PT,1589251674,41.72,-8.86,63.0,93,40,3.36
359,Barysh,RU,1589251675,53.66,47.11,50.7,82,0,3.24
360,Bambous Virieux,MU,1589251675,-20.34,57.76,73.4,56,40,6.93
361,São Filipe,CV,1589251675,14.9,-24.5,72.27,80,5,9.17
362,Paka,MY,1589251675,4.64,103.44,84.2,89,40,1.14
363,Port Lincoln,AU,1589251676,-34.73,135.87,65.12,59,1,17.72
364,Malanje,AO,1589251676,-9.54,16.34,61.57,77,58,3.02
365,Taltal,CL,1589251676,-25.4,-70.48,55.99,81,30,2.21
366,Dunedin,NZ,1589251676,-45.87,170.5,54.52,64,100,1.97
367,Porto Belo,BR,1589251479,-27.16,-48.55,64.99,93,0,5.82
368,Leningradskiy,RU,1589251677,69.38,178.42,35.29,95,2,5.23
369,Erzin,TR,1589251677,36.96,36.2,61.0,90,0,0.72
370,Luanda,AO,1589251448,-8.84,13.23,80.6,83,75,6.93
371,Pangnirtung,CA,1589251677,66.15,-65.71,26.17,88,1,14.23
372,Vardø,NO,1589251678,70.37,31.11,33.8,86,75,9.17
373,Chapais,CA,1589251411,49.78,-74.85,21.2,53,20,4.7
374,Ambanja,MG,1589251678,-13.68,48.45,70.81,85,89,3.53
375,Umm Bāb,QA,1589251678,25.21,50.81,84.0,37,4,8.01
376,Nome,US,1589251678,64.5,-165.41,55.0,57,20,13.87
377,San Andrés,CO,1589251490,12.58,-81.7,82.4,83,90,6.93
378,Kavieng,PG,1589251679,-2.57,150.8,86.5,68,95,1.72
379,San Policarpo,PH,1589251679,12.18,125.51,85.8,72,18,7.63
380,Atambua,ID,1589251655,-9.11,124.89,83.03,64,93,2.93
381,Departamento de Maldonado,UY,1589251387,-34.67,-54.92,48.2,87,20,2.24
382,Utica,US,1589251680,43.1,-75.23,39.99,85,100,5.99
383,Rio Grande,BR,1589251680,-32.03,-52.1,57.0,93,32,7.63
384,Mahon,ES,1589251680,39.89,4.27,62.6,93,22,8.05
385,Senno,RU,1589251680,59.53,33.92,32.79,97,100,10.22
386,Vieux-Habitants,GP,1589251681,16.06,-61.77,78.8,78,20,6.93
387,Selma,US,1589251442,36.57,-119.61,84.2,14,1,11.07
388,Tucuruí,BR,1589251681,-3.77,-49.67,74.95,92,39,1.07
389,Maragogi,BR,1589251682,-9.01,-35.22,75.65,86,0,3.31
390,Acaraú,BR,1589251682,-2.89,-40.12,77.67,87,2,7.72
391,Bonavista,CA,1589251682,48.65,-53.11,34.93,87,0,16.58
392,Kokoda,PG,1589251682,-8.88,147.74,83.12,67,82,3.6
393,Svetlaya,RU,1589251682,46.54,138.33,50.22,72,90,9.51
394,Letterkenny,IE,1589251683,54.95,-7.73,37.87,91,56,4.14
395,Hīt,IQ,1589251683,33.64,42.83,71.58,23,0,9.15
396,Road Town,VG,1589251683,18.42,-64.62,81.0,82,2,14.0
397,Itaituba,BR,1589251683,-4.28,-55.98,74.66,93,10,1.48
398,Auki,SB,1589251684,-8.77,160.7,84.27,79,100,8.88
399,Walvis Bay,NA,1589251684,-22.96,14.51,70.77,47,0,9.1
400,Fort Nelson,CA,1589251535,58.81,-122.7,62.6,21,20,4.7
401,Bartica,GY,1589251684,6.4,-58.62,75.2,100,75,4.7
402,Pumiao,CN,1589251685,22.75,108.48,77.0,83,90,4.47
403,Luangwa,ZM,1589251685,-15.62,30.42,61.43,78,51,1.7
404,Savannah Bight,HN,1589251685,16.45,-85.85,81.73,79,73,9.1
405,Tuxpan,MX,1589251685,19.55,-103.4,71.65,53,1,1.79
406,Poltavka,RU,1589251686,54.37,71.76,76.06,27,31,4.59
407,Lata,PT,1589251686,40.16,-8.33,55.99,91,63,2.3
408,Whitecourt,CA,1589251686,54.15,-115.69,48.2,31,75,13.87
409,Turbat,PK,1589251686,26.0,63.04,80.31,73,6,2.17
410,Port Hedland,AU,1589251687,-20.32,118.57,89.6,18,0,12.75
411,Nanortalik,GL,1589251687,60.14,-45.24,41.83,76,100,16.49
412,Lexington,US,1589251687,37.99,-84.48,46.4,65,90,5.06
413,Quelimane,MZ,1589251687,-17.88,36.89,62.6,93,20,3.36
414,Coyhaique,CL,1589251683,-45.58,-72.07,46.4,75,90,5.82
415,Binzhou,CN,1589251688,37.37,118.02,73.99,32,0,16.04
416,Dandong,CN,1589251688,40.13,124.39,61.16,49,46,16.49
417,Saint-Honoré,CA,1589251552,48.53,-71.08,33.8,40,75,10.29
418,Dukat,RU,1589251689,62.55,155.55,30.83,97,81,5.91
419,Nabire,ID,1589251689,-3.37,135.48,87.84,61,0,5.21
420,Jalu,LY,1589251689,29.03,21.55,72.54,20,0,10.56
421,Paamiut,GL,1589251689,61.99,-49.67,41.5,74,100,16.98
422,Prymors'k,UA,1589251690,46.73,36.34,57.69,73,0,15.97
423,Tolaga Bay,NZ,1589251690,-38.37,178.3,60.31,67,9,10.67
424,Skellefteå,SE,1589251690,64.75,20.95,32.0,63,0,11.41
425,Tawang Town,IN,1589251690,27.58,91.87,60.15,44,0,4.41
426,Tsimmerbude,RU,1589251690,54.67,20.13,35.6,93,75,8.95
427,Longido,TZ,1589251691,-2.73,36.68,60.8,91,53,3.96
428,Buchanan,LR,1589251691,5.88,-10.05,78.01,88,100,4.0
429,San Patricio,MX,1589251691,19.22,-104.7,75.25,79,0,6.93
430,Bereket,TM,1589251691,39.24,55.52,64.72,47,79,7.45
431,Bijni,IN,1589251692,26.5,90.7,89.22,34,0,4.97
432,Marzuq,YE,1589251612,14.4,46.47,77.72,33,4,0.6
433,Yar-Sale,RU,1589251692,66.83,70.83,32.95,95,100,19.1
434,Tobol,KZ,1589251692,52.68,62.58,66.06,72,65,14.45
435,Darnah,LY,1589251693,32.77,22.64,79.95,17,0,27.89
436,Hanumāngarh,IN,1589251693,29.58,74.32,90.12,31,46,14.58
437,Bahía Blanca,AR,1589251693,-38.72,-62.27,52.25,47,95,6.02
438,Bogen,DE,1589251693,48.91,12.69,42.01,88,65,4.0
439,Opelousas,US,1589251693,30.53,-92.08,70.0,82,1,2.93
440,Pahrump,US,1589251694,36.21,-115.98,80.01,12,0,8.01
441,Mesyagutovo,RU,1589251694,55.53,58.25,60.73,81,99,3.38
442,Chaykovskiy,RU,1589251507,56.77,54.11,53.01,84,100,2.51
443,Boguchany,RU,1589251694,58.38,97.45,68.95,52,100,7.87
444,Sechura,PE,1589251695,-5.56,-80.82,72.97,74,73,12.19
445,Beloha,MG,1589251675,-25.17,45.05,63.37,79,67,4.25
446,Kula,TR,1589251695,38.55,28.65,66.99,10,18,58.0
447,Rundu,NA,1589251695,-17.93,19.77,58.91,50,69,4.79
448,Ocotepec,MX,1589251696,17.22,-93.15,60.37,100,46,3.8
449,Marfino,RU,1589251696,55.7,37.38,59.0,62,31,6.71
450,Taremskoye,RU,1589251696,55.93,43.04,50.0,87,0,6.71
451,Cabedelo,BR,1589251696,-6.98,-34.83,77.0,94,2,6.93
452,Zabul Province,AF,1589251697,32.25,67.25,70.86,27,100,10.83
453,Mpigi,UG,1589251697,0.23,32.31,63.82,97,98,4.43
454,Misratah,LY,1589251697,32.38,15.09,67.75,78,72,9.66
455,Grindavik,IS,1589251698,63.84,-22.43,39.2,80,75,6.93
456,Rumuruti,KE,1589251698,0.27,36.54,57.02,91,100,2.66
457,Nakamura,JP,1589251698,32.98,132.93,79.0,35,94,6.33
458,Vrede,ZA,1589251698,-27.43,29.17,45.0,55,0,2.71
459,Tezu,IN,1589251699,27.92,96.17,78.28,57,100,2.17
460,Brae,GB,1589251699,60.4,-1.35,39.2,60,95,13.87
461,Anuradhapura,LK,1589251699,8.36,80.42,83.55,80,100,1.86
462,Husavik,IS,1589251699,66.04,-17.34,30.2,74,90,13.87
463,Merauke,ID,1589251700,-8.47,140.33,81.97,79,100,4.23
464,Hirado,JP,1589251700,33.36,129.55,73.99,68,75,4.7
465,Plouzané,FR,1589251547,48.38,-4.62,44.6,75,100,11.41
466,Río Gallegos,AR,1589251700,-51.62,-69.22,37.4,93,97,12.75
467,Ajdabiya,LY,1589251701,30.76,20.23,78.06,16,0,16.15
468,Meulaboh,ID,1589251632,4.14,96.13,85.64,69,97,2.89
469,Nerchinskiy Zavod,RU,1589251701,51.31,119.61,49.66,45,99,10.71
470,Vao,NC,1589251702,-22.67,167.48,73.31,69,0,17.74
471,Sulina,RO,1589251702,45.16,29.65,60.42,73,70,13.53
472,Ternate,ID,1589251702,0.8,127.4,86.23,63,0,7.02
473,Ürümqi,CN,1589251702,43.8,87.6,77.0,13,100,8.95
474,Province of Mantua,IT,1589251703,45.17,10.78,59.0,94,100,5.46
475,Rock Sound,BS,1589251703,24.9,-76.2,76.39,83,100,11.25
476,Van Buren,US,1589251703,35.44,-94.35,55.4,62,75,14.99
477,Carbonia,IT,1589251703,39.17,8.52,63.0,82,5,3.36
478,Mossamedes,AO,1589251704,-15.2,12.15,78.19,43,11,9.1
479,Margate,GB,1589251633,51.38,1.39,44.01,82,71,4.0
480,Kahului,US,1589251704,20.89,-156.47,82.4,54,75,18.34
481,Yagoua,CM,1589251704,10.34,15.23,85.98,48,97,6.82
482,Raja,SS,1589251705,8.46,25.68,73.87,85,100,5.46
483,Mujiayingzi,CN,1589251705,42.12,118.78,60.04,29,0,23.06
484,Vanimo,PG,1589251705,-2.67,141.3,84.63,77,100,4.65
485,Mana,GF,1589251706,5.66,-53.78,78.1,84,100,12.68
486,Umluj,SA,1589251706,25.02,37.27,76.24,48,61,9.31
487,Orange Walk District,BZ,1589251706,17.83,-88.83,81.0,62,69,4.0
488,Alofi,NU,1589251706,-19.06,-169.92,82.4,83,40,8.05
489,Mokhsogollokh,RU,1589251706,61.47,128.92,37.45,75,100,6.62
490,Trairi,BR,1589251484,-3.28,-39.27,77.04,89,0,5.99
491,Zhezkazgan,KZ,1589251707,47.8,67.71,64.4,63,100,6.71
492,Isoka,ZM,1589251708,-10.16,32.63,55.24,98,2,1.28
493,Villa Corzo,MX,1589251708,16.17,-93.25,73.56,72,3,3.67
494,Pacific Grove,US,1589251566,36.62,-121.92,66.2,45,90,6.93
495,Matara,LK,1589251642,5.95,80.54,84.4,74,80,3.96
496,Taraz,KZ,1589251708,42.9,71.37,68.0,60,2,4.47
497,Batagay-Alyta,RU,1589251709,67.8,130.41,28.0,96,100,3.18
498,Havre-St-Pierre,CA,1589251709,50.23,-63.6,35.6,80,20,12.75
499,Vila,PT,1589251709,42.03,-8.16,60.01,93,40,1.12
500,Āgaro,ET,1589251710,7.85,36.65,60.49,85,52,1.68
501,Port Hardy,CA,1589251710,50.7,-127.42,66.2,48,75,6.93
502,Forsytheganj,BY,1589251710,52.63,29.73,59.41,93,96,13.18
503,Black Forest,US,1589251710,39.01,-104.7,43.0,75,90,10.29
504,Oktyabr'skoye,RU,1589251710,43.06,44.74,44.6,87,0,2.24
505,Qarqīn,AF,1589251711,37.42,66.04,84.18,27,94,3.15
506,Diu,IN,1589251711,20.71,70.98,84.7,66,0,7.29
507,Srednekolymsk,RU,1589251652,67.45,153.68,41.41,68,95,7.16
508,Zharkent,KZ,1589251711,44.16,80.0,70.86,39,52,5.66
509,Hoquiam,US,1589251712,46.98,-123.89,55.99,87,90,3.36
510,Ambon City,ID,1589251712,-3.7,128.18,86.0,79,40,6.93
511,Kuytun,RU,1589251712,54.34,101.5,66.15,48,88,6.4
512,Araouane,ML,1589251712,18.9,-3.53,89.31,11,0,11.52
513,Mugur-Aksy,RU,1589251713,50.35,90.5,56.95,29,100,2.95
514,Le Port,RE,1589251713,-20.94,55.29,71.6,60,90,6.93
515,Faanui,PF,1589251714,-16.48,-151.75,81.36,78,0,12.39
516,Namtsy,RU,1589251714,62.72,129.67,44.6,45,100,8.95
517,Launceston,AU,1589251714,-41.45,147.17,55.0,87,90,19.46
518,Ruidoso,US,1589251654,33.33,-105.67,55.0,81,1,5.82
519,Neiafu,TO,1589251715,-18.65,-173.98,82.4,74,20,6.93
520,Reconquista,AR,1589251715,-29.15,-59.65,68.14,78,97,10.67
521,Adré,TD,1589251715,13.47,22.2,68.38,23,47,0.89
522,La Asuncion,VE,1589251715,11.03,-63.86,80.6,88,98,18.34
523,Wiarton,CA,1589251716,44.74,-81.13,33.8,55,5,6.93
524,Broome,US,1589251716,42.25,-75.83,39.0,93,90,8.05
525,Acapulco de Juárez,MX,1589251541,16.86,-99.89,82.4,78,20,6.93
526,Akçaabat,TR,1589251716,41.02,39.57,55.4,66,24,4.7
527,Puerto Peñasco,MX,1589251716,31.32,-113.53,75.99,71,0,5.99
528,Upata,VE,1589251717,8.01,-62.4,77.0,86,34,7.0
529,La Mira,MX,1589251717,18.04,-102.33,74.77,72,0,4.56
530,Vostok,RU,1589251717,46.49,135.88,60.28,38,100,10.96
531,Kitob,UZ,1589251717,39.08,66.83,76.12,39,100,2.68
532,Amarante do Maranhão,BR,1589251718,-5.57,-46.74,72.41,90,27,2.13
533,Irtyshskiy,RU,1589251718,58.33,68.13,69.78,59,98,6.85
534,Lālmohan,BD,1589251718,22.34,90.74,89.24,52,100,3.42
535,Samur,RU,1589251718,41.83,48.49,57.11,60,0,3.18
536,Bima,ID,1589251719,-8.47,118.72,87.42,61,4,5.06
537,Samaná,DO,1589251719,19.21,-69.34,76.23,88,87,5.86
538,Piaçabuçu,BR,1589251719,-10.41,-36.43,76.48,85,0,5.3
539,Qian’an,CN,1589251719,44.99,124.06,60.6,30,15,18.1
540,Chiredzi,ZW,1589251720,-21.05,31.67,57.78,65,100,3.78
541,Bayangol,RU,1589251720,50.7,103.47,62.78,39,100,5.57
542,Vlorë,AL,1589251720,40.47,19.49,61.38,71,0,6.17
543,Quang Ngai,VN,1589251720,15.12,108.8,90.82,50,95,7.02
544,Aykino,RU,1589251720,62.22,49.99,51.31,87,1,7.65
545,Taunggyi,MM,1589251721,20.78,97.03,78.85,56,70,5.28
546,Leh,IN,1589251721,34.17,77.58,41.56,55,79,2.06
547,Kaset Sombun,TH,1589251721,16.28,101.95,90.61,41,82,3.09
548,Fare,PF,1589251721,-16.7,-151.02,81.77,75,1,12.3
549,Batemans Bay,AU,1589251721,-35.72,150.18,69.01,35,28,8.66
550,Kargasok,RU,1589251722,59.06,80.86,73.72,40,11,5.59
551,Praia,CV,1589251722,14.92,-23.51,71.6,78,20,13.87
552,Alamosa,US,1589251722,37.47,-105.87,53.6,58,90,25.28
553,Zhuhai,CN,1589251673,22.28,113.57,84.0,78,20,4.7
554,Ulaangom,MN,1589251723,49.98,92.07,68.18,22,85,4.14
555,Palmer,US,1589251610,42.16,-72.33,45.0,87,91,3.0
556,Shimoda,JP,1589251723,34.67,138.95,79.0,73,75,8.05
557,Boa Vista,BR,1589251723,2.82,-60.67,80.6,78,20,6.93
